"node1","node2","diff_w"
"Node50","Node23","0.090176091308573"
"Node54","Node23","-0.0426513257738552"
"Node56","Node23","0.0458579746388877"
"Node65","Node23","-0.0395305222974734"
"Node84","Node23","0"
"Node27","Node24","0"
"Node42","Node24","0.0648548994630008"
"Node64","Node24","0.0381377660990862"
"Node69","Node24","0.114669927281925"
"Node72","Node24","0.0670373420463059"
"Node93","Node24","0.0527673964141866"
"Node44","Node25","0"
"Node49","Node25","-0.0275167157278124"
"Node28","Node26","-0.0753522372542475"
"Node30","Node26","-0.000123506746261992"
"Node31","Node26","-0.0968518423288775"
"Node37","Node26","0"
"Node41","Node26","0.020345129305272"
"Node44","Node26","-0.0523264616134759"
"Node45","Node26","-0.0292594853819597"
"Node46","Node26","0.00794038256535199"
"Node49","Node26","0.0019227605320198"
"Node51","Node26","0.281513051292489"
"Node54","Node26","0.00836043372410886"
"Node62","Node26","0.039561780047026"
"Node65","Node26","0.0319795778489849"
"Node67","Node26","-0.0793989869235889"
"Node77","Node26","0"
"Node78","Node26","-0.0680800166335183"
"Node82","Node26","-0.0061658413240007"
"Node31","Node27","0.0122675982536973"
"Node32","Node27","0.109920499287071"
"Node41","Node27","0.0480778256204189"
"Node42","Node27","0.139932724935757"
"Node52","Node27","0.0101547974612566"
"Node64","Node27","0.0817917609687261"
"Node67","Node27","0.0695884647677132"
"Node72","Node27","0.060186485849301"
"Node74","Node27","0.331774719124707"
"Node82","Node27","0.102713367701962"
"Node87","Node27","0.0978655282453158"
"Node94","Node27","0.163739235593693"
"Node97","Node27","0.0326944326014597"
"Node9","Node28","0.19258255287846"
"Node30","Node28","-0.014807122348807"
"Node31","Node28","0.0176663210003929"
"Node39","Node28","-0.072220715499268"
"Node44","Node28","0.23579993449934"
"Node45","Node28","-0.0616430405440689"
"Node46","Node28","-0.034511395010111"
"Node47","Node28","-0.121018105727898"
"Node48","Node28","0.316790409202587"
"Node49","Node28","-0.00598402682369201"
"Node50","Node28","0.0988111114227864"
"Node53","Node28","0.0253232212876578"
"Node54","Node28","0.0459674229239025"
"Node60","Node28","0.021683054753576"
"Node67","Node28","0.132291164081887"
"Node82","Node28","0.0256424847669274"
"Node84","Node28","0"
"Node85","Node28","0.0648942531644039"
"Node95","Node28","0.0569677769233019"
"Node96","Node28","-0.176487497459457"
"Node5","Node29","0"
"Node30","Node29","-0.00252714096243678"
"Node41","Node29","0.0513882595089382"
"Node44","Node29","0.141579785969375"
"Node46","Node29","-0.0468441193922481"
"Node49","Node29","0.003960786398642"
"Node56","Node29","0.185247999085851"
"Node78","Node29","-0.0686249460442318"
"Node79","Node29","0.137100508767266"
"Node82","Node29","0.184264920747718"
"Node84","Node29","0.341200913127649"
"Node85","Node29","0.0532415151913029"
"Node86","Node29","0.0107295046718836"
"Node97","Node29","0.233123156079317"
"Node9","Node30","0.318684277970676"
"Node31","Node30","0.0461054984481787"
"Node39","Node30","-0.0289436507718506"
"Node41","Node30","-0.0859719175127436"
"Node43","Node30","0.158572826948279"
"Node44","Node30","0.0610378060088832"
"Node45","Node30","0.0491754720872915"
"Node46","Node30","-0.085620101081664"
"Node47","Node30","0.0561139624027479"
"Node48","Node30","0.00148500935745273"
"Node49","Node30","0.130356281145516"
"Node50","Node30","0.212724821623865"
"Node51","Node30","0.0447404972588529"
"Node52","Node30","0.0353295153187732"
"Node53","Node30","0.0059386543315935"
"Node54","Node30","0.172660530786329"
"Node56","Node30","0.23733954396089"
"Node59","Node30","-0.0804737842672071"
"Node62","Node30","-0.0317842508594525"
"Node65","Node30","0.214869389278181"
"Node67","Node30","0.0402828334562192"
"Node72","Node30","0"
"Node73","Node30","0.039732088093592"
"Node74","Node30","0.229338393514945"
"Node77","Node30","-0.251781219703169"
"Node78","Node30","-0.129132528173778"
"Node82","Node30","0.138774482169311"
"Node83","Node30","0.0629732624564117"
"Node84","Node30","-0.0217522369981554"
"Node85","Node30","0.00739460318230816"
"Node86","Node30","0.119464449435481"
"Node91","Node30","0.164563917068229"
"Node97","Node30","0.0328863546051206"
"Node32","Node31","0.130647671086917"
"Node37","Node31","0.00989449639146531"
"Node39","Node31","0.00125074924449808"
"Node43","Node31","0.0685095382510545"
"Node44","Node31","-0.011402724941621"
"Node45","Node31","-0.0911678132903636"
"Node46","Node31","0.22534191804048"
"Node47","Node31","0.0192049406670389"
"Node48","Node31","0.184045277759656"
"Node49","Node31","-0.0170985010917923"
"Node50","Node31","0.0135965182242453"
"Node51","Node31","0.118112851940215"
"Node56","Node31","0.0068169998172955"
"Node62","Node31","0.0551974586363069"
"Node65","Node31","0.0010533933207679"
"Node68","Node31","0"
"Node72","Node31","0.0866694666090615"
"Node74","Node31","0.125655003874373"
"Node77","Node31","0.130450401744271"
"Node78","Node31","0.0885111735723163"
"Node82","Node31","0.00409726923762011"
"Node91","Node31","0.0541036465264717"
"Node6","Node32","0"
"Node37","Node32","0.145007128951237"
"Node42","Node32","0"
"Node44","Node32","0.0088039598796367"
"Node45","Node32","0.0586588415241167"
"Node60","Node32","0.154702738209775"
"Node87","Node32","0"
"Node8","Node34","0.065755773239127"
"Node94","Node34","0"
"Node6","Node35","0.0294585971605469"
"Node7","Node35","0.0586714844633379"
"Node45","Node35","-0.132425633494039"
"Node49","Node35","0"
"Node72","Node35","0.122123014566488"
"Node86","Node35","0.247472335891152"
"Node44","Node36","0"
"Node44","Node37","0.16756112060294"
"Node49","Node37","0.0912777950582083"
"Node58","Node37","0.0123960332321011"
"Node60","Node37","0.0167326228545748"
"Node62","Node37","0.11418828524969"
"Node77","Node37","0.0875917621520949"
"Node87","Node37","0.0383412002039358"
"Node44","Node39","0.0283395404843528"
"Node46","Node39","0"
"Node47","Node39","0.098944554373764"
"Node49","Node39","0"
"Node50","Node39","0.195379574677258"
"Node54","Node39","-0.244964853260694"
"Node56","Node39","0.0302831397008128"
"Node72","Node39","0.150479630810059"
"Node73","Node39","0.0141125474865552"
"Node74","Node39","0.0390049613829468"
"Node76","Node39","0.036064450207267"
"Node82","Node39","0"
"Node84","Node39","0.24848701423826"
"Node59","Node40","0.0155520459700718"
"Node79","Node40","0.23820944164549"
"Node82","Node40","0"
"Node45","Node41","-0.070542566868987"
"Node46","Node41","0.061415672820731"
"Node51","Node41","0.0414215018246477"
"Node53","Node41","0.0889498949248358"
"Node54","Node41","-0.0560937695372426"
"Node61","Node41","0.0929609219596221"
"Node62","Node41","-0.119310112853184"
"Node64","Node41","0"
"Node67","Node41","0.23376905580366"
"Node76","Node41","0.131010298005999"
"Node77","Node41","0"
"Node78","Node41","0.0891801774740157"
"Node82","Node41","0.19001558766598"
"Node83","Node41","0.0321759213242626"
"Node97","Node41","0.127642158606615"
"Node45","Node43","-0.119700685213009"
"Node46","Node43","0.34497090843813"
"Node47","Node43","0.0991172196176913"
"Node48","Node43","0.182330361276167"
"Node50","Node43","0.0337254086184546"
"Node53","Node43","0.00245218079893401"
"Node55","Node43","-0.0037794769881501"
"Node59","Node43","0.123863448084884"
"Node71","Node43","0.555058983208071"
"Node74","Node43","-0.192649504642838"
"Node83","Node43","0.0392071933341207"
"Node84","Node43","0.303200790411339"
"Node85","Node43","0.037753875058306"
"Node86","Node43","-0.357796982742769"
"Node97","Node43","0.0221417750953272"
"Node5","Node44","-0.0421798466463249"
"Node9","Node44","0.0187767421925481"
"Node45","Node44","-0.196914342848671"
"Node46","Node44","0.0096465307450881"
"Node49","Node44","-0.128355969235611"
"Node62","Node44","-0.125455792815775"
"Node74","Node44","0.0505823534660252"
"Node77","Node44","0"
"Node82","Node44","0.0969372395834542"
"Node86","Node44","0.131789781126239"
"Node96","Node44","-0.0800094277975534"
"Node7","Node45","0.0242915714700134"
"Node46","Node45","-0.017859021233861"
"Node49","Node45","0.107731543049049"
"Node51","Node45","0.0156028035663042"
"Node53","Node45","-0.0766299042925469"
"Node55","Node45","-0.176790937835339"
"Node65","Node45","0.0441184317639356"
"Node67","Node45","-0.151489413710977"
"Node73","Node45","0.181031846998536"
"Node86","Node45","0.129597768870173"
"Node91","Node45","0.0353897589858969"
"Node95","Node45","0.0555452394363419"
"Node9","Node46","0.0129858711473372"
"Node47","Node46","0.0545929000215194"
"Node59","Node46","0.0140517263712978"
"Node63","Node46","0.141722798535196"
"Node65","Node46","0.101074356843279"
"Node67","Node46","0.182329598664264"
"Node75","Node46","0.105021447482521"
"Node78","Node46","0.0491345066095474"
"Node83","Node46","0.00894304425092792"
"Node84","Node46","0.082537221860148"
"Node85","Node46","0.108755468385204"
"Node86","Node46","0.69316102534473"
"Node48","Node47","0.100585071185515"
"Node50","Node47","-0.0302667845872382"
"Node54","Node47","-0.0939343931885802"
"Node56","Node47","-0.0609821320647774"
"Node58","Node47","0"
"Node67","Node47","-0.0890902579012455"
"Node73","Node47","0.0999697566500588"
"Node74","Node47","0.118275155624278"
"Node84","Node47","0.130516615454311"
"Node85","Node47","0.216201999349211"
"Node51","Node48","0"
"Node54","Node48","0"
"Node65","Node48","0.222602782795999"
"Node72","Node48","0"
"Node85","Node48","0"
"Node91","Node48","0.0872891178680865"
"Node5","Node49","0.035286713696825"
"Node7","Node49","0"
"Node9","Node49","0.136668365798057"
"Node50","Node49","0.117731814243241"
"Node53","Node49","0"
"Node54","Node49","-0.172017750180898"
"Node56","Node49","-0.0456489441023889"
"Node65","Node49","0"
"Node74","Node49","0.307102106181508"
"Node77","Node49","0.0241183928858022"
"Node82","Node49","0.0107430586445145"
