Genus_1	Genus_2	Genus_1__Genus_2	CD_TNF	CD_UC_TNF	CD_UC_VDZ	CD_UST	CD_VDZ	UC_VDZ	sum_taxas	appearance	Family.x	Family.y
Clostridium_IV	Flavonifractor	Clostridium_IV__Flavonifractor	0	0	0	0	1	0	1	1	Ruminococcaceae	Ruminococcaceae
Clostridium_IV	Sporobacter	Clostridium_IV__Sporobacter	0	1	0	0	0	0	1	1	Ruminococcaceae	Ruminococcaceae
Clostridium_IV	Clostridium_XlVa	Clostridium_IV__Clostridium_XlVa	0	0	0	0	0	1	1	1	Lachnospiraceae	Ruminococcaceae
Clostridium_IV	Turicibacter	Clostridium_IV__Turicibacter	0	0	0	0	0	1	1	1	Erysipelotrichaceae	Ruminococcaceae
Clostridium_sensu_stricto	Turicibacter	Clostridium_sensu_stricto__Turicibacter	0	0	0	0	0	1	1	1	Erysipelotrichaceae	Clostridiaceae_1
Clostridium_XlVa	Coprococcus	Clostridium_XlVa__Coprococcus	0	0	0	0	0	1	1	1	Lachnospiraceae	Lachnospiraceae
Clostridium_XlVa	Roseburia	Clostridium_XlVa__Roseburia	0	0	0	0	0	1	1	1	Lachnospiraceae	Lachnospiraceae
Clostridium_XlVa	Sporobacter	Clostridium_XlVa__Sporobacter	0	0	1	0	0	0	1	1	Ruminococcaceae	Lachnospiraceae
Clostridium_XlVa	Turicibacter	Clostridium_XlVa__Turicibacter	0	0	0	0	0	1	1	1	Erysipelotrichaceae	Lachnospiraceae
Clostridium_XlVa	Romboutsia	Clostridium_XlVa__Romboutsia	0	0	0	0	0	1	1	1	Peptostreptococcaceae	Lachnospiraceae
Clostridium_XlVb	Gemmiger	Clostridium_XlVb__Gemmiger	0	1	0	0	0	0	1	1	Ruminococcaceae	Lachnospiraceae
Clostridium_XVIII	Fusicatenibacter	Clostridium_XVIII__Fusicatenibacter	0	0	0	0	0	1	1	1	Lachnospiraceae	Erysipelotrichaceae
Clostridium_XVIII	Dorea	Clostridium_XVIII__Dorea	0	0	0	0	0	1	1	1	Lachnospiraceae	Erysipelotrichaceae
Clostridium_XVIII	Ruminococcus2	Clostridium_XVIII__Ruminococcus2	0	0	0	0	0	1	1	1	Lachnospiraceae	Erysipelotrichaceae
Collinsella	Dorea	Collinsella__Dorea	0	0	0	0	0	1	1	1	Lachnospiraceae	Coriobacteriaceae
Dorea	Fusicatenibacter	Dorea__Fusicatenibacter	0	0	0	0	0	1	1	1	Lachnospiraceae	Lachnospiraceae
Dorea	Faecalibacterium	Dorea__Faecalibacterium	0	0	0	0	0	1	1	1	Ruminococcaceae	Lachnospiraceae
Dorea	Oscillibacter	Dorea__Oscillibacter	0	0	0	0	0	1	1	1	Ruminococcaceae	Lachnospiraceae
Eggerthella	Flavonifractor	Eggerthella__Flavonifractor	0	0	0	1	0	0	1	1	Ruminococcaceae	Coriobacteriaceae
Escherichia/Shigella	Streptococcus	Escherichia/Shigella__Streptococcus	0	0	0	0	0	1	1	1	Streptococcaceae	Enterobacteriaceae
Faecalibacterium	Sporobacter	Faecalibacterium__Sporobacter	0	0	0	0	0	1	1	1	Ruminococcaceae	Ruminococcaceae
Faecalibacterium	Roseburia	Faecalibacterium__Roseburia	0	1	0	0	0	0	1	1	Lachnospiraceae	Ruminococcaceae
Faecalibacterium	Fusicatenibacter	Faecalibacterium__Fusicatenibacter	0	0	0	1	0	0	1	1	Lachnospiraceae	Ruminococcaceae
Faecalicoccus	Sporobacter	Faecalicoccus__Sporobacter	0	0	0	0	0	1	1	1	Ruminococcaceae	Erysipelotrichaceae
Gemella	Veillonella	Gemella__Veillonella	0	0	0	0	1	0	1	1	Veillonellaceae	Bacillales_Incertae_Sedis_XI
Intestinimonas	Sporobacter	Intestinimonas__Sporobacter	0	0	0	0	0	1	1	1	Ruminococcaceae	Ruminococcaceae
Roseburia	Roseburia	Roseburia__Roseburia	0	0	0	0	0	1	1	1	Lachnospiraceae	Lachnospiraceae
Ruminococcus2	Subdoligranulum	Ruminococcus2__Subdoligranulum	0	1	0	0	0	0	1	1	Ruminococcaceae	Lachnospiraceae
Ruminococcus2	Ruminococcus2	Ruminococcus2__Ruminococcus2	0	0	0	0	0	1	1	1	Lachnospiraceae	Lachnospiraceae
Sporobacter	Sporobacter	Sporobacter__Sporobacter	0	0	0	0	0	1	1	1	Ruminococcaceae	Ruminococcaceae
Streptococcus	Streptococcus	Streptococcus__Streptococcus	0	1	0	0	0	0	1	1	Streptococcaceae	Streptococcaceae
